,instrument_key,name
0,NSE_INDEX|India VIX,India VIX
93,NSE_EQ|INE150B01039,ALKYL AMINES CHEM. LTD
94,NSE_EQ|INE418H01029,ALLCARGO LOGISTICS LTD
95,NSE_EQ|INE0M2X01012,ALL E TECHNOLOGIES LTD
96,NSE_EQ|INE270A01029,ALOK INDUSTRIES LIMITED
97,NSE_EQ|INE385I01010,ALPA LABORATORIES LTD
98,NSE_EQ|INE0R4701017,ALPEX SOLAR LIMITED
99,NSE_EQ|INF174KA1IA5,KOTAKMAMC - KOTAKALPHA
100,NSE_EQ|INF769K01KU7,MIRAEAMC - ALPHAETF
101,NSE_EQ|INE137C01018,ALPHAGEO (INDIA) LIMITED
102,NSE_EQ|INF109KC17V7,ICICIPRAMC - ICICIALPLV
103,NSE_EQ|INE093B01015,ALPS INDUSTRIES LTD.
104,NSE_EQ|INE0STM01017,ALUWIND ARCHITECTURAL LTD
105,NSE_EQ|INE00C501018,AMBANI ORGANICS LIMITED
106,NSE_EQ|INE371P01015,AMBER ENTERPRISES (I) LTD
107,NSE_EQ|INE792B01012,AMBICA AGAR & AROMAINDLTD
108,NSE_EQ|INE540G01014,AMBIKA COTTON MILL LTD.
109,NSE_EQ|INE079A01024,AMBUJA CEMENTS LTD
110,NSE_EQ|INE005I01014,AMD INDUSTRIES LIMITED
111,NSE_EQ|INE0KT901015,AMEYA PRECISION ENG LTD
112,NSE_EQ|INE0MTP01013,AMIABLE LOGISTICS (I) LTD
113,NSE_EQ|INE00FF01017,AMI ORGANICS LIMITED
114,NSE_EQ|INE606A01024,AMJ LAND HOLDINGS LIMITED
115,NSE_EQ|INE275D01022,AMINES & PLASTICIZERS LTD
116,NSE_EQ|INE098F01031,AMRUTAJAN HEALTH LTD
117,NSE_EQ|INE463V01026,ANAND RATHI WEALTH LTD
118,NSE_EQ|INE242C01024,ANANT RAJ LIMITED
119,NSE_EQ|INE435A01028,ANDHRA PAPER LIMITED
120,NSE_EQ|INE715B01021,ANDHRA SUGARS LTD
121,NSE_EQ|INE732I01013,ANGEL ONE LIMITED
122,NSE_EQ|INE087B01017,ANIK INDUSTRIES LTD
123,NSE_EQ|INE106I01010,ANKIT MET & POW LTD
124,NSE_EQ|INE0LR101013,ANLON TECHNOLOGY SOL LTD
125,NSE_EQ|INE02AR01019,ANMOL INDIA LIMITED
126,NSE_EQ|INE0MGM01017,ANNAPURNA SWADISHT LTD
127,NSE_EQ|INE436A01026,ANSAL PROP & INFRA LTD
128,NSE_EQ|INE414B01021,ANTARCTICA LTD
129,NSE_EQ|INE294Z01018,THE ANUP ENGINEERING LTD
130,NSE_EQ|INE930P01018,ANUPAM RASAYAN INDIA LTD
131,NSE_EQ|INE930P13013,ANUPAM RASAYAN INDIA LTD
132,NSE_EQ|INE0MIZ23019,ANZEN IND ENE YLD PLU TRU
133,NSE_EQ|INE372A01015,APAR INDUSTRIES LTD.
134,NSE_EQ|INE071F01012,ANJANI PORTLAND CEM LTD
135,NSE_EQ|INE116A01032,APCOTEX INDUSTRIES LIMITE
136,NSE_EQ|INE346W01013,APEX FROZEN FOODS LIMITED
137,NSE_EQ|INE702C01027,APL APOLLO TUBES LTD
138,NSE_EQ|INE901L01018,ALEMBIC PHARMA LTD
139,NSE_EQ|INE713T01028,APOLLO MICRO SYSTEMS LTD
140,NSE_EQ|INE437A01024,APOLLO HOSPITALS ENTER. L
141,NSE_EQ|INE126J01016,APOLLO PIPES LIMITED
142,NSE_EQ|INE438A01022,APOLLO TYRES LTD
143,NSE_EQ|INE451F01024,APOLLO SINDOORI HOTEL LTD
144,NSE_EQ|INE0P0001010,AUSTRALIAN PREM SOLAR I L
145,NSE_EQ|INE266F01018,APTECH LIMITED
146,NSE_EQ|INE852O01025,APTUS VALUE HSG FIN I LTD
147,NSE_EQ|INE08NJ01024,ARABIAN PETROLEUM LIMITED
148,NSE_EQ|INE877I01016,ARCHIDPLY IND. LTD
149,NSE_EQ|INE731A01020,ARCHIES LTD
150,NSE_EQ|INE885A01032,AMARA RAJA ENERGY MOB LTD
151,NSE_EQ|INE610C01014,RAJDARSHAN INDUSTRIES LTD
152,NSE_EQ|INE0L2Y01011,ARHAM TECHNOLOGIES LTD
153,NSE_EQ|INE298I01015,ARIES AGRO LTD.
154,NSE_EQ|INE0NCC01015,ARIHANT ACADEMY LIMITED
155,NSE_EQ|INE420B01036,ARIHANT CAPITAL MKTS LTD
156,NSE_EQ|INE643K01018,ARIHANT SUPERSTRUCT LTD
157,NSE_EQ|INE082101010,ARISTO BIO T AND LIFESC L
158,NSE_EQ|INE109C01017,ARMAN FIN SERV LTD
159,NSE_EQ|INE210C01013,ARO GRANITE IND. LTD.
160,NSE_EQ|INE570D01018,ARROW GREENTECH LIMITED
161,NSE_EQ|INE968D01022,ARSHIYA LIMITED
162,NSE_EQ|INE267I01010,ARSS INFRA PROJ. LTD
163,NSE_EQ|INE025R01021,ARTEMIS MED SERVICE LTD
164,NSE_EQ|INE738V01013,ART NIRMAN LIMITED
165,NSE_EQ|INE006Z01016,ARVEE LABORATORIES I LTD
166,NSE_EQ|INE034A01011,ARVIND LIMITED
167,NSE_EQ|INE955V01021,ARVIND FASHIONS LIMITED
168,NSE_EQ|INE034S01021,ARVIND SMARTSPACES LTD
169,NSE_EQ|INE439A01020,ASAHI INDIA GLASS LIMITED
170,NSE_EQ|INE228I01012,ASAHI SONGWON COLOR LTD
171,NSE_EQ|INE900C01027,AUTOMOTIVE STAMPINGS & AS
172,NSE_EQ|INE073G01016,ASSO ALCOHOLS & BREW LTD
173,NSE_EQ|INE08KD01015,ASCOM LEASIN & INVEST LTD
174,NSE_EQ|INE348A01023,ASHAPURA MINECHEM LTD
175,NSE_EQ|INE365D01021,ASHIANA HOUSING LTD
176,NSE_EQ|INE440A01010,ASHIMA LTD
177,NSE_EQ|INE442H01029,ASHOKA BUILDCON LTD
178,NSE_EQ|INE760Y01011,ASHOKA METCAST LIMITED
179,NSE_EQ|INE208A01029,ASHOK LEYLAND LTD
180,NSE_EQ|INE276G01015,ASIAN ENERGY SERVICES LTD
181,NSE_EQ|INE363A01022,ASIAN HOTELS (NORTH) LTD
182,NSE_EQ|INE021A01026,ASIAN PAINTS LIMITED
183,NSE_EQ|INE022I01019,ASIAN GRANITO IND. LTD.
184,NSE_EQ|INE491J01022,ASK AUTOMOTIVE LIMITED
185,NSE_EQ|INE617I01024,ASL INDUSTRIES LIMITED
186,NSE_EQ|INE855F01042,BARTRONICS INDIA LIMITED
187,NSE_EQ|INE991I01015,ASPINWALL & CO LTD
188,NSE_EQ|INE0S7801010,ASPIRE & INNOVATIVE ADV L
189,NSE_EQ|INE563J01010,ASTEC LIFESCIENCES LTD
190,NSE_EQ|INE914M01019,ASTER DM HEALTHCARE LTD.
191,NSE_EQ|INE006I01046,ASTRAL LIMITED
192,NSE_EQ|INE386C01029,ASTRA MICROWAVE LTD
193,NSE_EQ|INE203A01020,ASTRAZENECA PHARMA IND LT
194,NSE_EQ|INE646X01014,ASTRON PAPER BORD MIL LTD
195,NSE_EQ|INE0ALR01029,ATAL REALTECH LIMITED
196,NSE_EQ|INE09KD01013,ATAM VALVES LIMITED
197,NSE_EQ|INE209A01019,AGRO TECH FOODS LIMITED
198,NSE_EQ|INE399L01023,ADANI TOTAL GAS LIMITED
199,NSE_EQ|INE0NN701020,ALLCARGO TERMINALS LTD
200,NSE_EQ|INE285H01022,ATLANTAA LIMITED
201,NSE_EQ|INE05DH01017,ATMASTCO LIMITED
202,NSE_EQ|INE100A01010,ATUL LTD
203,NSE_EQ|INE951D01028,ATUL AUTO LIMITED
204,NSE_EQ|INE949L01017,AU SMALL FINANCE BANK LTD
205,NSE_EQ|INE448V01019,AURANGABAD DISTILLERY LTD
206,NSE_EQ|INE132H01018,AURIONPRO SOLN LTD
207,NSE_EQ|INE0NUL01018,AURO IMPEX & CHEMICALS L
208,NSE_EQ|INE406A01037,AUROBINDO PHARMA LTD
209,NSE_EQ|INE898S01029,AURUM PROPTECH LIMITED
210,NSE_EQ|INE218C01016,AUSOM ENTERPRISE LIMITED
211,NSE_EQ|INE449A01011,AUTOMOTIVE AXLES LIMITED
212,NSE_EQ|INF204KC1337,NIPPONAMC - NETFAUTO
213,NSE_EQ|INF109KC10V2,ICICIPRAMC - ICICIAUTO
214,NSE_EQ|INE718H01014,AUTOLINE INDUSTRIES LTD
215,NSE_EQ|INE349W01017,AVADH SUG & ENERGY LTD
216,NSE_EQ|INE0LCL01028,AVALON TECHNOLOGIES LTD
217,NSE_EQ|INE871C01038,AVANTI FEEDS LIMITED
218,NSE_EQ|INE680Z01018,AVG LOGISTICS LIMITED
219,NSE_EQ|INE323B01016,AVONMORE CAP&MGT SERV LTD
220,NSE_EQ|INE0R9401019,AVP INFRACON LIMITED
221,NSE_EQ|INE652Z01017,AVRO INDIA LIMITED
222,NSE_EQ|INE522V01011,AVSL INDUSTRIES LIMITED
223,NSE_EQ|INE488D01021,AVT NATURAL PRODUCTS LTD
224,NSE_EQ|INE108V01019,AWFIS SPACE SOLUTIONS LTD
225,NSE_EQ|INE01BK01022,ANTONY WASTE HDG CELL LTD
226,NSE_EQ|INE699H01024,ADANI WILMAR LIMITED
227,NSE_EQ|INE238A01034,AXIS BANK LIMITED
228,NSE_EQ|INF846K01X63,AXISAMC - AXISBNKETF
229,NSE_EQ|INF846K01Z04,AXISAMC - AXISBPSETF
230,NSE_EQ|INE555B01013,AXISCADES TECH LTD
231,NSE_EQ|INF846K016C7,AXISAMC - AXISCETF
232,NSE_EQ|INF846K01W80,AXIS MF - AXIS GOLD ETF
233,NSE_EQ|INF846K01Z12,AXISAMC - AXISHCETF
234,NSE_EQ|INF846K011K1,AXISAMC - AXISILVER
235,NSE_EQ|INF846K01Y96,AXISAMC - AXISTECETF
236,NSE_EQ|INE02EZ01022,AXITA COTTON LIMITED
237,NSE_EQ|INF846K010Q0,AXISAMC - AXSENSEX
238,NSE_EQ|INE193B01039,AYM SYNTEX LIMITED
239,NSE_EQ|INE02IJ01035,AZAD ENGINEERING LIMITED
240,NSE_EQ|INE0QW501012,BABA FOOD PROCESSING
241,NSE_EQ|INE878I01022,BAFNA PHARMACEUTICALS LTD
242,NSE_EQ|INE116D01028,B.A.G FILMS AND MEDIA LTD
243,NSE_EQ|INE029Q01017,BAHETI RECYCLING IND LTD
244,NSE_EQ|INE020D01022,BAID FINSERV LIMITED
245,NSE_EQ|INE917I01010,BAJAJ AUTO LIMITED
246,NSE_EQ|INE933K01021,BAJAJ CONSUMER CARE LTD
247,NSE_EQ|INE193E01025,BAJAJ ELECT.LTD
248,NSE_EQ|INE918I01026,BAJAJ FINSERV LTD.
249,NSE_EQ|INE411U01027,BAJAJ HEALTHCARE LIMITED
250,NSE_EQ|INE306A01021,BAJAJ HINDUSTHAN SUGAR LT
251,NSE_EQ|INE118A01012,BAJAJ HOLDINGS & INVS LTD
252,NSE_EQ|INE0KQN01018,BAJEL PROJECTS LIMITED
253,NSE_EQ|INE296A01024,BAJAJ FINANCE LIMITED
254,NSE_EQ|INE794B01026,BALAJI TELEFILMS LIMITED.
255,NSE_EQ|INE050E01027,BALAJI AMINES LIMITED
256,NSE_EQ|INE618N01022,BALAXI PHARMA LTD
257,NSE_EQ|INE875R01011,BALKRISHNA PAPER MILLS L
258,NSE_EQ|INE787D01026,BALKRISHNA IND. LTD
259,NSE_EQ|INE164A01016,BALMER LAWRIE & CO LTD
260,NSE_EQ|INE083D01012,BAL PHARMA LTD.
261,NSE_EQ|INE119A01028,BALRAMPUR CHINI MILLS LTD
262,NSE_EQ|INE011E01029,BALU FORGE INDUSTRIES LTD
263,NSE_EQ|INE655B01011,BANARAS BEADS LTD
264,NSE_EQ|INE459A01010,BANNARI AMMAN SUGARS LTD
265,NSE_EQ|INE213C01025,BANCO PRODUCTS (I) LTD
266,NSE_EQ|INE545U01014,BANDHAN BANK LIMITED
267,NSE_EQ|INE863I01016,BANG OVERSEAS LTD.
268,NSE_EQ|INE862Y01015,BANKA BIOLOO LIMITED
269,NSE_EQ|INE028A01039,BANK OF BARODA
270,NSE_EQ|INF204KB15I9,NIP IND ETF BANK BEES
271,NSE_EQ|INF0QA701714,BFAM - BANKBETF
272,NSE_EQ|INF769K01KR3,MIRAEAMC - BANKETF
273,NSE_EQ|INF740KA1RX3,DSPAMC - DSPBANKETF
274,NSE_EQ|INE084A01016,BANK OF INDIA
275,NSE_EQ|INF174K01F59,KOTAKMAMC-KOTAKBKETF
276,NSE_EQ|INE629D01020,BANSWARA SYNTEX LIMITED
277,NSE_EQ|INE382M01027,BARBEQUE NATION HOSP. LTD
278,NSE_EQ|INE373A01013,BASF INDIA LTD
279,NSE_EQ|INE0OCC01013,BASILIC FLY STUDIO LTD
280,NSE_EQ|INE186H01022,BANNARI AM SPIN MILL LTD.
281,NSE_EQ|INE176A01028,BATA INDIA LTD
282,NSE_EQ|INE0JFJ01011,BAWEJA STUDIOS LIMITED
283,NSE_EQ|INE462A01022,BAYER CROPSCIENCE LTD
284,NSE_EQ|INE464A01036,BHARAT BIJLEE LTD
285,NSE_EQ|INF251K01SU9,BARODABNP - BBNPPGOLD
286,NSE_EQ|INE676A01027,BLACK BOX LIMITED
287,NSE_EQ|INE050A01025,BOMBAY BURMAH TRADING COR
288,NSE_EQ|INE01EE01011,B&B TRIPLEWALL CONT LTD
289,NSE_EQ|INE412G01024,BCL INDUSTRIES LIMITED
290,NSE_EQ|INE977Y01011,BRAND CONCEPTS LIMITED
291,NSE_EQ|INE171Z01026,BHARAT DYNAMICS LIMITED
292,NSE_EQ|INE766Q01014,BDR BUILDCON LIMITED
293,NSE_EQ|INE639X01027,BEACON TRUSTEESHIP LTD
294,NSE_EQ|INE520H01022,BEARDSELL LIMITED
295,NSE_EQ|INE495P01012,MRS BECTORS FOOD SPE LTD
296,NSE_EQ|INE844K01012,BEDMUTHA INDUST LTD
297,NSE_EQ|INE263A01024,BHARAT ELECTRONICS LTD
298,NSE_EQ|INE258A01016,BEML LIMITED
299,NSE_EQ|INE922A01025,BHANSALI ENG. POLYMERS LT
300,NSE_EQ|INE463A01038,BERGER PAINTS (I) LTD
301,NSE_EQ|INE052T01013,BEST AGROLIFE LIMITED
302,NSE_EQ|INE351Y01019,BETA DRUGS LIMITED
303,NSE_EQ|INE0HQI01014,BEW ENGINEERING LIMITED
304,NSE_EQ|INE878K01010,BF INVESTMENT LIMITED
305,NSE_EQ|INF769K01HI8,MIRAEAMC - MAFSETF
